"FID"	"IID"	"Sigs160.Bindea_Macrophages"	"Sigs160.Bindea_Mast.cells"	"Sigs160.Bindea_Neutrophils"	"Sigs160.Bindea_NK.CD56bright.cells"	"Sigs160.Bindea_NK.CD56dim.cells"
"TCGA-3A-A9IX"	"TCGA-3A-A9IX"	0.213074077	0.062631428	0.010358974	0.025168741	-0.037043248
"TCGA-YL-A8SH"	"TCGA-YL-A8SH"	0.068437646	-0.009637396	-0.043053186	0.004140926	-0.038406783
"TCGA-FC-A8O0"	"TCGA-FC-A8O0"	0.056108564	0.043066954	-0.054637337	0.039001109	-0.039855678
"TCGA-YL-A8SR"	"TCGA-YL-A8SR"	0.086072715	0.059612339	-0.009315067	-0.012456126	-0.021076944
"TCGA-ZG-A8QY"	"TCGA-ZG-A8QY"	0.087631267	0.014350662	-0.043222528	0.010460046	-0.032342213
"TCGA-2A-A8VT"	"TCGA-2A-A8VT"	0.057615281	-0.019693022	-0.064420144	-0.019304879	-0.027328655
"TCGA-2A-A8W3"	"TCGA-2A-A8W3"	0.074027384	0.036171852	-0.045058035	0.002528201	-0.097376946
"TCGA-V1-A8MM"	"TCGA-V1-A8MM"	NA	NA	NA	NA	NA
"TCGA-V1-A8WS"	"TCGA-V1-A8WS"	0.050272328	-0.031375949	-0.083889559	0.023953842	-0.041804057
"TCGA-V1-A8X3"	"TCGA-V1-A8X3"	0.097859243	0.040684467	-0.064312822	-0.023302434	-0.033996917
"TCGA-YJ-A8SW"	"TCGA-YJ-A8SW"	0.074661992	-0.049175494	-0.047695233	0.052100615	-0.011540111
"TCGA-YL-A9WI"	"TCGA-YL-A9WI"	0.079969198	-0.018138222	-0.066995273	-0.018696484	-0.073236957
"TCGA-YL-A8SK"	"TCGA-YL-A8SK"	0.064041636	0.044148673	-0.025693796	0.093139905	-0.024496893
"TCGA-2A-A8VO"	"TCGA-2A-A8VO"	0.093293873	0.01145013	-0.072778722	0.006250887	-0.036519994
"TCGA-YL-A8SF"	"TCGA-YL-A8SF"	0.125406286	-0.030479566	-0.077082543	0.019275016	-0.050103278
"TCGA-Y6-A8TL"	"TCGA-Y6-A8TL"	0.073606747	-0.004875675	-0.045506823	-0.026073242	-0.041214824
"TCGA-V1-A8WW"	"TCGA-V1-A8WW"	0.10799878	-0.056499975	-0.065882963	0.000981868	-0.057377739
"TCGA-YL-A8S9"	"TCGA-YL-A8S9"	0.044474836	-0.016002586	-0.064032818	-0.01502877	-0.038545508
"TCGA-XJ-A9DI"	"TCGA-XJ-A9DI"	0.142089532	-0.002957254	-0.021281604	0.028843373	-0.037789426
"TCGA-V1-A8WL"	"TCGA-V1-A8WL"	0.099086834	0.039058671	-0.032692453	0.012053744	-0.031425453
"TCGA-YL-A8SP"	"TCGA-YL-A8SP"	0.064393116	-0.024482311	-0.076069509	0.064889473	-0.129867153
"TCGA-2A-A8VX"	"TCGA-2A-A8VX"	NA	NA	NA	NA	NA
"TCGA-YL-A8SA"	"TCGA-YL-A8SA"	0.052890504	-0.059912649	-0.062022858	-0.003102058	-0.033851254
"TCGA-YL-A8SL"	"TCGA-YL-A8SL"	0.059687412	-0.074284245	-0.052443905	0.014403237	-0.038643192
"TCGA-YL-A9WJ"	"TCGA-YL-A9WJ"	0.12878599	0.033164332	-0.003462837	0.002376711	-0.032949769
"TCGA-V1-A8WN"	"TCGA-V1-A8WN"	0.078671135	0.01559275	-0.020490928	-0.004693915	-0.03800046
"TCGA-XJ-A9DK"	"TCGA-XJ-A9DK"	0.098321604	-0.0160885	-0.03403039	0.096952674	-0.087947211
"TCGA-WW-A8ZI"	"TCGA-WW-A8ZI"	0.077270254	0.013122256	-0.049677824	0.043361839	-0.025988301
"TCGA-V1-A8MU"	"TCGA-V1-A8MU"	0.116000408	0.086714288	-0.004188589	0.02219949	-0.030116972
"TCGA-YL-A8SQ"	"TCGA-YL-A8SQ"	0.078653062	0.029499558	-0.034071764	-0.005210662	-0.038540669
"TCGA-YL-A8S8"	"TCGA-YL-A8S8"	0.102896707	-0.018132014	-0.039782639	-0.02024766	-0.057183508
"TCGA-ZG-A8QZ"	"TCGA-ZG-A8QZ"	0.118939891	0.024766466	-0.046712463	0.044282094	-0.040177171
"TCGA-YL-A9WH"	"TCGA-YL-A9WH"	0.089957616	-0.050099774	-0.08103182	0.105566927	-0.058578301
"TCGA-IB-AAUU"	"TCGA-IB-AAUU"	0.226545846	0.041883062	-0.009813225	0.099084429	-0.053717241
"TCGA-IB-AAUP"	"TCGA-IB-AAUP"	0.221792698	0.017627176	-0.003040779	0.005462282	0.008766882
