"FID"	"IID"	"Sigs160.Attractors_IFIT3"	"Sigs160.Attractors_LYM"	"Sigs160.Bindea_aDC"	"Sigs160.Bindea_B.cells"	"Sigs160.Bindea_CD8.T.cells"
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	8.807706676	9.085986599	0.166257263	-0.056066425	0.188934897
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	8.995338491	9.822871171	0.024609151	0.065682101	0.222108849
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	8.453920182	7.268925848	0.031820752	-0.079753479	0.216903235
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	7.762655964	6.241433736	-0.051201823	-0.03524184	0.194571828
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	9.045029871	7.554288612	-0.005042921	-0.077430827	0.212057834
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	9.368017346	8.014608636	0.114774502	-0.052596054	0.2042474
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	10.31603105	7.180929547	0.147561199	-0.099181461	0.181854252
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	8.682567115	7.277121276	-0.032071411	-0.089624318	0.202073548
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	7.998905697	6.799666213	0.059765075	-0.078339819	0.2038065
"TCGA-09-2044"	"TCGA-09-2044"	11.23085402	8.912481325	0.107017415	-0.104797917	0.137189638
"TCGA-24-2262"	"TCGA-24-2262"	9.185901795	8.59152027	0.087915348	-0.086777222	0.126023945
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	7.288090356	7.628732434	-0.061956022	-0.135394584	0.138784946
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	11.83620447	7.955327398	0.212856454	-0.102644628	0.111303404
"TCGA-09-2045"	"TCGA-09-2045"	12.10862173	7.801458127	0.210325711	-0.101004434	0.137420143
"TCGA-24-2267"	"TCGA-24-2267"	11.41308155	10.14142809	0.194971753	-0.033311771	0.143325177
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	11.68029248	8.57296594	0.211344043	-0.089758999	0.136462362
"TCGA-25-2409"	"TCGA-25-2409"	10.59794477	8.9906209	0.111095635	-0.086821868	0.138107536
"TCGA-59-2351"	"TCGA-59-2351"	9.808911904	9.289437936	0.053598525	-0.059748047	0.115689444
"TCGA-09-2048"	"TCGA-09-2048"	7.061068022	6.053618391	-0.182105876	-0.16684471	0.146822304
"TCGA-24-2271"	"TCGA-24-2271"	10.93541775	9.103108622	0.150305092	-0.060870541	0.143665308
"TCGA-24-2297"	"TCGA-24-2297"	11.73965432	7.001489772	0.148849444	-0.080515551	0.122727207
"TCGA-25-2397"	"TCGA-25-2397"	9.775619381	8.02870234	-0.054243992	-0.149035821	0.115863047
"TCGA-29-2414"	"TCGA-29-2414"	8.830609932	6.900832253	-0.078535823	-0.086044122	0.143201076
"TCGA-59-2352"	"TCGA-59-2352"	12.21862095	8.46692568	0.190759254	-0.095070433	0.128871875
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
