"FID"	"IID"	"Sigs160.Wolf_CD8.CD68.ratio"	"Sigs160.Wolf_CD8.PCA.16704732"	"Sigs160.Wolf_CD8A"	"Sigs160.Wolf_CHANG.CORE.SERUM.RESPONSE.UP"	"Sigs160.Wolf_Chemokine12.score"
"TCGA-04-1369"	"TCGA-04-1369"	NA	NA	NA	NA	NA
"TCGA-36-2543"	"TCGA-36-2543"	NA	NA	NA	NA	NA
"TCGA-29-2431"	"TCGA-29-2431"	NA	NA	NA	NA	NA
"TCGA-36-2534"	"TCGA-36-2534"	NA	NA	NA	NA	NA
"TCGA-23-2645"	"TCGA-23-2645"	NA	NA	NA	NA	NA
"TCGA-36-2533"	"TCGA-36-2533"	NA	NA	NA	NA	NA
"TCGA-36-2544"	"TCGA-36-2544"	NA	NA	NA	NA	NA
"TCGA-04-1516"	"TCGA-04-1516"	NA	NA	NA	NA	NA
"TCGA-13-2061"	"TCGA-13-2061"	NA	NA	NA	NA	NA
"TCGA-23-2649"	"TCGA-23-2649"	NA	NA	NA	NA	NA
"TCGA-36-2532"	"TCGA-36-2532"	NA	NA	NA	NA	NA
"TCGA-36-2545"	"TCGA-36-2545"	NA	NA	NA	NA	NA
"TCGA-13-2065"	"TCGA-13-2065"	NA	NA	NA	NA	NA
"TCGA-29-2429"	"TCGA-29-2429"	NA	NA	NA	NA	NA
"TCGA-42-2587"	"TCGA-42-2587"	NA	NA	NA	NA	NA
"TCGA-42-2591"	"TCGA-42-2591"	NA	NA	NA	NA	NA
"TCGA-23-2641"	"TCGA-23-2641"	NA	NA	NA	NA	NA
"TCGA-36-2548"	"TCGA-36-2548"	NA	NA	NA	NA	NA
"TCGA-HT-7605"	"TCGA-HT-7605"	0.1065	-1.5546	-1.364	-0.341	-1.3273
"TCGA-CV-7438"	"TCGA-CV-7438"	-0.3611	0.483	-0.694	0.247	1.2447
"TCGA-CV-7433"	"TCGA-CV-7433"	0.1033	1.6763	2.073	0.189	2.2513
"TCGA-HT-7604"	"TCGA-HT-7604"	-2.3756	-2.0425	-3.653	-0.289	-2.1368
