"FID"	"IID"	"Sigs160.Bindea_NK.cells"	"Sigs160.Bindea_pDC"	"Sigs160.Bindea_T.cells"	"Sigs160.Bindea_T.helper.cells"	"Sigs160.Bindea_Tcm.cells"
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	0.138879944	-0.014229228	-0.061738057	0.260603542	0.202495424
"TCGA-09-2044"	"TCGA-09-2044"	0.012525705	-0.191532256	-0.107992685	0.161429925	0.053781043
"TCGA-24-2262"	"TCGA-24-2262"	0.056139793	-0.164980809	-0.088888599	0.181740702	0.071797785
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	0.062557936	-0.239109709	-0.188318539	0.188385801	0.06970779
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	0.042284703	-0.264585406	-0.178496564	0.156364673	0.05856781
"TCGA-09-2045"	"TCGA-09-2045"	0.050811922	-0.198671318	-0.151735088	0.144298342	0.106844879
"TCGA-24-2267"	"TCGA-24-2267"	0.039768584	-0.225613946	-0.056553519	0.175101282	0.107992673
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	0.049162855	-0.210846844	-0.117068038	0.175960007	0.083292394
"TCGA-25-2409"	"TCGA-25-2409"	0.044796864	-0.16962609	-0.147900784	0.155316829	0.100763809
"TCGA-59-2351"	"TCGA-59-2351"	0.053098872	-0.232410725	-0.088733542	0.169613503	0.0974834
"TCGA-09-2048"	"TCGA-09-2048"	0.065027661	-0.263754145	-0.185275502	0.183870454	0.0384134
"TCGA-24-2271"	"TCGA-24-2271"	0.053281039	-0.164296242	-0.085770015	0.152814312	0.107547582
"TCGA-24-2297"	"TCGA-24-2297"	0.034737342	-0.209917787	-0.201258334	0.169629201	0.10224178
"TCGA-25-2397"	"TCGA-25-2397"	0.039172366	-0.246395465	-0.180388355	0.162502556	0.095229671
"TCGA-29-2414"	"TCGA-29-2414"	0.062518594	-0.255979412	-0.179133572	0.154756208	0.066184649
"TCGA-59-2352"	"TCGA-59-2352"	0.058159702	-0.275538489	-0.13117748	0.157182135	0.079441418
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
