"FID"	"IID"	"Sigs160.Bindea_Cytotoxic.cells"	"Sigs160.Bindea_DC"	"Sigs160.Bindea_Eosinophils"	"Sigs160.Bindea_iDC"	"Sigs160.Bindea_Lymph.vessels"
"TCGA-BJ-A0ZA"	"TCGA-BJ-A0ZA"	-0.034115177	-0.084337347	0.080756294	0.038313472	-0.052519851
"TCGA-BJ-A0Z0"	"TCGA-BJ-A0Z0"	-0.13226455	-0.117518719	0.088997591	0.043863403	0.005476996
"TCGA-BJ-A0ZG"	"TCGA-BJ-A0ZG"	-0.041189565	-0.033859308	0.085299801	0.055668426	0.018611021
"TCGA-C4-A0F7"	"TCGA-C4-A0F7"	-0.09692611	-0.064386831	0.077809392	0.024503602	-0.059075235
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.069156577	-0.065481527	0.067815941	0.062353526	-0.06435507
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	-0.051198465	0.007758126	0.040336931	0.093160097	0.073169869
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.042051688	-0.021272407	0.105184804	0.039729514	-0.042330949
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-0.084193468	-0.118320378	0.06845694	0.027297361	0.060290905
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.00489549	-0.001580454	0.097855845	0.07685548	-0.036614393
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	-0.062419397	-0.027675472	0.09234085	0.061394192	-0.067359953
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.059737113	-0.045785928	0.104147662	0.055101207	0.048108287
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.10520733	-0.060265264	0.07868274	0.040901515	-0.049635231
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	0.129512555	-0.05335479	0.043281967	0.050338444	-0.124129841
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	-0.092085222	-0.075994473	0.044751546	0.096193172	0.010637402
"TCGA-BL-A13J"	"TCGA-BL-A13J"	-0.103219887	-0.066170833	0.064236674	0.084109865	0.015945431
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	-0.067156549	-0.037074355	0.099662739	0.067911086	-0.047849445
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-0.083850401	-0.071624927	0.068940312	0.133678679	-0.038328739
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.070049447	-0.077018431	0.069046877	0.036077637	-0.056563985
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	-0.01509456	-0.073634343	0.069775563	0.066808615	-0.054827751
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	-0.024039668	0.050231065	0.057073345	0.091402062	0.017699374
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	-0.01447397	-0.058438987	0.042275942	0.082746241	-0.070640385
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	-0.054898414	-0.085096457	0.04110077	0.050670909	0.112429703
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	-0.029953604	0.038488096	0.052257785	0.123074678	0.031770799
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.014983962	-0.022375139	0.091731016	0.101307791	0.025577513
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	-0.003895814	-0.0469482	0.120843043	0.068945612	-0.005761572
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-0.075043368	-0.109459822	0.068298416	0.046259658	0.017100699
