"FID"	"IID"	"Sigs160.Wolf_Module4.TcellBcell.score"	"Sigs160.Wolf_Module5.TcellBcell.score"	"Sigs160.Wolf_NHI.5gene.score"	"Sigs160.Wolf_PD1.data"	"Sigs160.Wolf_PD1.PDL1.score"
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.5015	-0.7948	-1.096	-1.349	-1.5955
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	0.4995	0.4144	0.468	0.385	0.4635
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.3529	-0.537	-0.17	0.42	0.5235
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-1.4079	-1.6447	-0.4955	1.817	-0.2925
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.2619	-0.6041	-1.2825	0.146	-0.7385
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	-0.9316	-0.871	-0.1295	-0.764	0.3075
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.8109	-0.7048	0.3585	-0.417	0.3425
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	1.2232	1.5743	1.7575	1.606	1.823
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	1.2863	1.625	1.623	2.191	2.9075
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	-0.3642	-0.4275	-0.092	-1.266	-1.1105
"TCGA-BL-A13J"	"TCGA-BL-A13J"	-0.7138	-0.6103	-0.1025	-1.123	-0.106
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	-0.8021	-0.7384	0.1035	-0.882	0.3395
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-1.5266	-1.6081	-0.9285	-1.159	-1.155
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.4859	0.8682	1.388	0.902	1.0305
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	-0.2115	0.4896	1.408	-0.281	1.4115
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.3638	0.3359	0.846	0.139	0.4635
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.5055	0.6921	0.137	0.843	0.6715
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	-0.6057	-0.054	0.773	-1.19	-0.2945
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	0.3876	0.7301	0.8695	0.378	1.1885
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	1.5659	1.0902	0.5025	2.32	1.2925
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	-0.284	-0.4446	-0.064	0.021	0.166
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-1.5246	-1.7656	-1.186	0.416	-0.5845
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	-0.8685	-0.9881	-0.249	-1.406	-0.541
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	-0.0837	-0.1225	-0.2335	-0.184	0.4565
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	-0.4431	0.0348	0.692	-1.079	-0.0165
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	-0.7893	-0.9446	-0.1235	-1.397	-0.1635
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	-0.7464	-0.9036	-0.5415	1.57	0.0395
"TCGA-09-2044"	"TCGA-09-2044"	-0.0126	0.2221	0.503	0.159	-0.0305
"TCGA-24-2262"	"TCGA-24-2262"	0.1336	0.3475	0.579	0.412	0.74
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	-0.566	-0.3038	-0.594	-0.572	-0.6695
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
"TCGA-59-2350"	"TCGA-59-2350"	-0.8031	-0.3267	0.9305	-1.288	-0.418
"TCGA-09-2045"	"TCGA-09-2045"	-0.9698	-0.4782	0.723	-1.413	-0.597
"TCGA-24-2267"	"TCGA-24-2267"	1.0031	1.2084	1.299	1.277	1.399
"TCGA-24-2295"	"TCGA-24-2295"	NA	NA	NA	NA	NA
"TCGA-25-2396"	"TCGA-25-2396"	0.1033	0.4809	0.927	0.104	0.3425
"TCGA-25-2409"	"TCGA-25-2409"	-0.0284	0.1412	0.203	-0.231	-0.2825
"TCGA-59-2351"	"TCGA-59-2351"	0.4977	0.6492	0.9635	0.251	0.168
"TCGA-09-2048"	"TCGA-09-2048"	-1.5354	-1.4185	-1.2545	-0.825	-1.095
"TCGA-24-2271"	"TCGA-24-2271"	0.6735	0.5736	1.325	0.764	0.1225
"TCGA-24-2297"	"TCGA-24-2297"	-0.9817	-0.6707	0.9835	-1.367	-0.9515
"TCGA-25-2397"	"TCGA-25-2397"	-1.2236	-0.882	-0.3985	-0.216	-0.702
"TCGA-29-2414"	"TCGA-29-2414"	-1.4371	-1.3194	-0.6125	-1.839	-1.4225
"TCGA-59-2352"	"TCGA-59-2352"	0.2074	0.5617	1.514	0.271	0.6905
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	-0.8674	-0.4445	1.314	-1.284	-0.7015
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	-0.6131	-0.3916	0.459	-1.41	-1.037
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.6088	0.9807	1.669	1.287	1.0395
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	8e-04	0.3392	1.213	-0.326	-0.043
"TCGA-29-2427"	"TCGA-29-2427"	1.0794	1.3028	1.205	1.336	0.757
"TCGA-59-2355"	"TCGA-59-2355"	-0.3006	0.0071	0.3535	-0.402	-0.0935
"TCGA-09-2051"	"TCGA-09-2051"	-0.1382	0.3692	1.3935	-0.292	-0.0565
"TCGA-24-2288"	"TCGA-24-2288"	0.8253	0.8432	1.2805	0.947	0.7825
"TCGA-25-1329"	"TCGA-25-1329"	-0.3574	-0.3947	0.197	-0.947	-0.627
"TCGA-25-2400"	"TCGA-25-2400"	-1.2631	-0.7732	0.1995	-1.373	-1.0615
"TCGA-29-2428"	"TCGA-29-2428"	0.7407	1.0013	0.9275	1.369	1.0875
"TCGA-59-2363"	"TCGA-59-2363"	-1.233	-0.8809	0.247	-0.42	-1.039
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	-0.619	-0.2742	0.722	-0.263	-0.382
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	-0.3635	-0.1555	1.1495	-0.793	-0.6125
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	0.3908	0.8757	1.6395	0.549	0.462
"TCGA-24-2290"	"TCGA-24-2290"	-0.5689	-0.1717	0.698	-0.922	-0.1655
"TCGA-25-2392"	"TCGA-25-2392"	0.1087	0.2627	0.893	-0.273	-0.197
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	-0.7746	-0.7038	-0.7155	-0.018	-0.3665
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-2.37	-2.5351	-3.75	-2.611	-1.986
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-2.5445	-2.7471	-2.7635	-2.832	-1.7605
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	-0.6972	-0.7354	-0.1665	-0.756	-0.051
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	0.0437	0.2782	1.3595	1.739	1.173
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	-2.0402	-1.9465	-2.8155	-0.946	-1.2105
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	1.0201	1.1233	1.7485	2.572	1.8015
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-2.2586	-2.288	-3.283	-0.974	-1.1725
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-2.0192	-2.2513	-2.7945	-1.272	-1.244
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-2.5791	-2.4816	-2.3685	-2.056	-1.891
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	-1.1786	-1.2836	-1.3335	-0.155	-0.6335
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-2.1787	-2.2155	-2.3225	-1.226	-1.3695
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-2.6565	-2.7996	-3.2995	-2.728	-1.8365
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-2.6192	-2.7872	-3.0815	-2.816	-1.606
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-1.7786	-1.9589	-2.304	-1.476	-1.121
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	-1.7668	-1.5843	-1.261	-1.619	-1.3915
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	-2.4554	-2.4132	-2.483	-2.828	-1.889
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.5712	-0.7241	-1.424	-0.272	-0.491
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-1.9534	-2.0243	-2.3545	-1.834	-1.4195
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-2.1012	-2.0919	-2.43	-2.064	-1.0615
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	-1.6682	-1.5908	-2.0435	-0.365	-0.4405
"TCGA-YZ-A980"	"TCGA-YZ-A980"	-1.5286	-1.5171	-0.8085	-0.703	-0.4365
"TCGA-WC-A883"	"TCGA-WC-A883"	-1.6346	-1.7299	-2.228	-1.417	-1.0445
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-2.1968	-2.2762	-2.3495	-2.767	-1.5845
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-2.8084	-2.7138	-2.8575	-3.196	-2.4905
"TCGA-WC-A880"	"TCGA-WC-A880"	-2.2133	-2.3516	-2.621	-2.243	-1.8645
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-1.8767	-1.9423	-1.7605	-1.642	-1.3045
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-2.1756	-2.1663	-2.0555	-2.011	-0.976
"TCGA-WC-A881"	"TCGA-WC-A881"	-1.7074	-1.6877	-2.322	-2.2	-1.02
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	-1.5059	-1.3114	-0.954	-1.045	-1.0315
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-2.9057	-3.0547	-3.982	-3.196	-2.451
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-2.1018	-1.8836	-1.617	-1.369	-1.1475
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-2.7141	-2.7689	-2.937	-2.816	-2.2085
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	0.8416	0.9684	1.439	2.223	1.746
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	-1.3159	-1.3151	-0.7675	-0.506	-0.2475
"TCGA-V4-A9F7"	"TCGA-V4-A9F7"	-2.657	-2.6371	-3.3995	-2.817	-1.713
"TCGA-WC-A882"	"TCGA-WC-A882"	-1.3901	-1.3926	-2.33	-1.842	-1.09
"TCGA-VD-AA8O"	"TCGA-VD-AA8O"	-1.2255	-0.9977	-0.8885	0.152	-0.0475
"TCGA-VD-A8KK"	"TCGA-VD-A8KK"	-1.3649	-1.3539	-1.4045	-0.182	-1.0055
"TCGA-WC-A888"	"TCGA-WC-A888"	1.0242	0.9589	0.8575	2.12	1.362
"TCGA-YZ-A984"	"TCGA-YZ-A984"	-2.1982	-2.509	-2.8475	-2.147	-1.4455
"TCGA-WC-A87Y"	"TCGA-WC-A87Y"	-0.291	-0.4555	0.4545	1.285	0.936
"TCGA-VD-AA8P"	"TCGA-VD-AA8P"	-2.4403	-2.4327	-2.6365	-2.744	-1.444
"TCGA-VD-A8KL"	"TCGA-VD-A8KL"	-2.5251	-2.5899	-2.616	-1.754	-1.3945
"TCGA-VD-A8KE"	"TCGA-VD-A8KE"	-2.2373	-2.2756	-2.9625	-2.768	-1.733
"TCGA-V4-A9EA"	"TCGA-V4-A9EA"	-2.7271	-2.7638	-3.854	-3.196	-2.627
"TCGA-VQ-A8PC"	"TCGA-VQ-A8PC"	1.0849	0.8832	0.5985	0.414	0.4465
"TCGA-4C-A93U"	"TCGA-4C-A93U"	0.4099	0.6074	1.2805	0.409	1.175
"TCGA-QD-A8IV"	"TCGA-QD-A8IV"	-0.2497	-0.4143	0.4255	0.244	0.152
"TCGA-DE-A69K"	"TCGA-DE-A69K"	-0.5679	-0.5987	0.6915	-0.763	-0.017
"TCGA-DE-A69J"	"TCGA-DE-A69J"	-0.4907	-0.6274	-0.1385	-0.608	0.2905
"TCGA-DE-A7U5"	"TCGA-DE-A7U5"	0.6797	0.8299	0.972	0.896	1.2775
"TCGA-FY-A76V"	"TCGA-FY-A76V"	-0.5607	-0.8589	-0.5685	-0.3	0.262
"TCGA-MK-A84Z"	"TCGA-MK-A84Z"	-1.0455	-1.3389	-0.28	1.301	0.52
"TCGA-33-AASD"	"TCGA-33-AASD"	-0.896	-0.2708	0.562	0.031	0.148
"TCGA-33-AASL"	"TCGA-33-AASL"	0.2405	0.6888	0.61	0.843	0.8045
