"FID"	"IID"	"Sigs160.Wolf_TGFB.PCA.17349583"	"Sigs160.Wolf_TGFB.score.21050467"	"Sigs160.Wolf_TREM1.data"	"Sigs160.Wolf_Troester.WoundSig.19887484"	"Core56.Adaptive.Receptor_BCR.Richness.Log10"
"TCGA-N5-A59E"	"TCGA-N5-A59E"	0.7254	0.3812	-0.873	0.6109	NA
"TCGA-N6-A4VG"	"TCGA-N6-A4VG"	0.3241	0.3667	-0.62	0.1685	0.301029996
"TCGA-N7-A4Y5"	"TCGA-N7-A4Y5"	-0.0483	0.0766	-3.322	-0.193	NA
"TCGA-N6-A4V9"	"TCGA-N6-A4V9"	1.5286	0.7474	0.6	0.8495	NA
"TCGA-N5-A4RN"	"TCGA-N5-A4RN"	0.2834	0.1802	-1.862	0.469	0.477121255
"TCGA-N5-A59F"	"TCGA-N5-A59F"	-0.4006	0.2216	-1.712	0.3075	0.602059991
"TCGA-N7-A4Y0"	"TCGA-N7-A4Y0"	-0.3717	-0.7097	-1.262	-0.6615	NA
"TCGA-HD-A633"	"TCGA-HD-A633"	1.0685	0.4097	2.208	0.8056	0.77815125
"TCGA-N5-A4R8"	"TCGA-N5-A4R8"	-0.1703	-0.0581	-0.79	0.0584	NA
"TCGA-N5-A4RO"	"TCGA-N5-A4RO"	-0.0799	0.0563	-0.782	0.2095	NA
"TCGA-64-1681"	"TCGA-64-1681"	0.721	0.2541	2.873	0.7207	1.653212514
"TCGA-64-1679"	"TCGA-64-1679"	1.6905	1.0641	3.773	0.8889	1.73239376
"TCGA-78-7162"	"TCGA-78-7162"	0.1122	-0.0126	1.375	0.4235	1.934498451
"TCGA-78-7163"	"TCGA-78-7163"	-1.1892	-0.5443	1.429	-0.4434	0.602059991
"TCGA-HT-7476"	"TCGA-HT-7476"	-0.9515	-0.4852	-2.076	0.0512	NA
"TCGA-HT-7468"	"TCGA-HT-7468"	-1.9205	-0.9673	-2.247	-0.5168	NA
"TCGA-HT-7481"	"TCGA-HT-7481"	-2.5159	-1.2022	-2.555	-0.3478	NA
"TCGA-DU-7290"	"TCGA-DU-7290"	-1.2073	-0.5734	2.185	0.4165	NA
"TCGA-HW-7493"	"TCGA-HW-7493"	-1.7211	-0.7525	-1.272	0.116	NA
"TCGA-DU-7012"	"TCGA-DU-7012"	-0.2964	-0.0866	-0.107	0.4282	NA
"TCGA-HT-7474"	"TCGA-HT-7474"	-2.1764	-1.0329	-2.597	-0.2196	NA
"TCGA-DU-7013"	"TCGA-DU-7013"	-1.1925	-0.371	-0.866	-0.1621	NA
"TCGA-HW-7486"	"TCGA-HW-7486"	-2.1148	-1.0906	-1.976	-0.4169	NA
"TCGA-HW-7489"	"TCGA-HW-7489"	-2.4474	-1.0921	-2.314	-0.2206	NA
"TCGA-DU-7018"	"TCGA-DU-7018"	-1.9026	-1.1021	-2.629	-0.5454	NA
"TCGA-HW-7490"	"TCGA-HW-7490"	-1.6212	-0.7798	-0.306	-0.335	NA
"TCGA-DU-7009"	"TCGA-DU-7009"	-2.3522	-1.1559	-3.059	-0.4118	NA
"TCGA-DU-7010"	"TCGA-DU-7010"	-1.5287	-0.6482	-1.416	-0.1372	NA
"TCGA-DU-7292"	"TCGA-DU-7292"	-1.7963	-0.466	-2.828	-0.0623	NA
"TCGA-HW-7495"	"TCGA-HW-7495"	-2.0884	-0.9979	-2.392	-0.221	NA
"TCGA-DU-7294"	"TCGA-DU-7294"	-2.2192	-1.2755	-2.626	-0.5863	NA
"TCGA-HT-7485"	"TCGA-HT-7485"	-2.7149	-1.2316	-3.011	-0.4241	NA
"TCGA-HW-7487"	"TCGA-HW-7487"	-2.8068	-1.3303	-2.141	-0.3951	NA
"TCGA-DU-7007"	"TCGA-DU-7007"	-0.3428	-0.35	2.066	-0.0628	0.602059991
"TCGA-DU-7008"	"TCGA-DU-7008"	-2.5948	-1.2647	-2.281	-0.5263	0.602059991
"TCGA-HT-7479"	"TCGA-HT-7479"	-2.3124	-0.9813	-2.399	-0.3135	NA
"TCGA-HW-7491"	"TCGA-HW-7491"	-1.9458	-1.1249	-0.835	-0.6868	NA
"TCGA-DU-7011"	"TCGA-DU-7011"	-1.1352	-0.5479	-1.179	-0.0215	NA
