"FID"	"IID"	"Sigs160.Wolf_MHC1.21978456"	"Sigs160.Wolf_MHC2.21978456"	"Sigs160.Wolf_Minterferon.Cluster.21214954"	"Sigs160.Wolf_Module11.Prolif.score"	"Sigs160.Wolf_Module3.IFN.score"
"TCGA-25-2397"	"TCGA-25-2397"	-0.0117	-0.313	-0.0432	0.2226	0.3418
"TCGA-29-2414"	"TCGA-29-2414"	-0.7159	-0.2565	-0.4789	0.0345	-0.4359
"TCGA-59-2352"	"TCGA-59-2352"	0.5676	0.0673	1.2077	0.0035	1.8937
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	-0.3924	0.0846	0.8999	0.3641	1.7316
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	-1.8077	-1.2445	-0.3004	0.2589	-0.2863
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.0431	0.9548	0.5907	0.7092	0.59
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	0.3136	0.7708	0.8559	0.6004	1.4907
"TCGA-29-2427"	"TCGA-29-2427"	0.9353	2.6692	1.0665	0.4215	1.4237
"TCGA-59-2355"	"TCGA-59-2355"	0.2147	0.0154	0.5927	-0.0247	1.0032
"TCGA-09-2051"	"TCGA-09-2051"	0.7604	0.9035	1.3489	1.016	2.3229
"TCGA-24-2288"	"TCGA-24-2288"	-0.0709	0.2809	1.0867	0.487	1.3106
"TCGA-25-1329"	"TCGA-25-1329"	-1.0386	-1.0381	0.103	0.527	0.5853
"TCGA-25-2400"	"TCGA-25-2400"	-0.7899	0.0053	0.1666	0.4344	0.8245
"TCGA-29-2428"	"TCGA-29-2428"	-0.4844	0.843	0.5611	0.482	0.3457
"TCGA-59-2363"	"TCGA-59-2363"	-1.0981	-1.4645	-0.1973	0.9916	0.1908
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	-0.7681	0.9617	0.7137	0.6128	1.2599
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	-0.6863	-0.6314	0.7708	0.5753	1.3161
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	-0.315	0.6302	0.9142	0.8169	1.3713
"TCGA-24-2290"	"TCGA-24-2290"	-0.7933	0.094	0.5305	0.8346	1.0362
"TCGA-25-2392"	"TCGA-25-2392"	-0.4089	0.6962	0.9272	0.2828	1.8248
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	0.2861	0.5382	-0.7739	-1.3216	-1.2659
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-1.0739	-1.0845	-2.0228	-1.8801	-2.3249
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-1.3649	-2.8002	-1.5307	-1.4213	-1.7649
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	1.1054	-1.3406	0.6516	-1.7094	1.6261
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	1.4629	0.796	0.5364	-0.6437	0.27
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	0.3329	-0.5205	-1.5044	-1.2919	-2.1684
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	1.7133	1.3895	0.8006	-1.2695	0.3338
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	-0.5853	-0.6458	-1.636	-2.5537	-1.9679
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-0.1331	-1.0597	-1.4495	-2.089	-1.7453
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	0.3886	-2.0575	-0.6996	-1.068	-0.1651
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	0.6894	-0.1147	-0.6902	-1.6065	-0.8358
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-0.4656	-1.3896	-1.7325	-1.0873	-2.1831
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-0.654	-2.077	-2.0156	-0.7589	-2.4442
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-1.0693	-2.4105	-1.9455	-1.0239	-2.605
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-1.13	-1.0854	-1.4625	-1.0592	-1.7314
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	0.1497	-0.9915	-0.6547	-0.4604	-0.2407
