"FID"	"IID"	"Sigs160.Wolf_Buck14.score"	"Sigs160.Wolf_CD103neg.mean.25446897"	"Sigs160.Wolf_CD103pos.CD103neg.ratio.25446897"	"Sigs160.Wolf_CD103pos.mean.25446897"	"Sigs160.Wolf_CD68"
"TCGA-25-2397"	"TCGA-25-2397"	0.4832	-0.0321	-0.8033	-0.5878	-0.445
"TCGA-29-2414"	"TCGA-29-2414"	0.2921	-0.7028	0.0386	-0.6052	-0.745
"TCGA-59-2352"	"TCGA-59-2352"	0.0837	0.0978	0.1726	0.2201	-0.226
"TCGA-09-2049"	"TCGA-09-2049"	NA	NA	NA	NA	NA
"TCGA-24-2280"	"TCGA-24-2280"	NA	NA	NA	NA	NA
"TCGA-24-2298"	"TCGA-24-2298"	0.0491	-0.2902	-0.2216	-0.414	-0.852
"TCGA-25-2398"	"TCGA-25-2398"	NA	NA	NA	NA	NA
"TCGA-29-2425"	"TCGA-29-2425"	0.2389	-0.7161	0.306	-0.442	-0.624
"TCGA-59-2354"	"TCGA-59-2354"	NA	NA	NA	NA	NA
"TCGA-09-2050"	"TCGA-09-2050"	NA	NA	NA	NA	NA
"TCGA-24-2281"	"TCGA-24-2281"	0.5668	0.3988	-0.5081	-0.0412	0.854
"TCGA-25-2042"	"TCGA-25-2042"	NA	NA	NA	NA	NA
"TCGA-25-2399"	"TCGA-25-2399"	0.2981	0.5002	-1.1265	-0.4024	0.411
"TCGA-29-2427"	"TCGA-29-2427"	0.1048	1.0062	-0.8553	0.1733	1.135
"TCGA-59-2355"	"TCGA-59-2355"	0.1088	0.0963	-0.2654	-0.1143	-0.451
"TCGA-09-2051"	"TCGA-09-2051"	0.4866	0.0761	0.1343	0.17	0.262
"TCGA-24-2288"	"TCGA-24-2288"	0.2323	0.5476	-0.0363	0.4572	0.11
"TCGA-25-1329"	"TCGA-25-1329"	0.2375	0.7701	-0.9363	-0.0677	0.262
"TCGA-25-2400"	"TCGA-25-2400"	0.5706	0.0451	0.0794	0.0992	-0.149
"TCGA-29-2428"	"TCGA-29-2428"	0.436	0.261	-0.1205	0.1369	0.59
"TCGA-59-2363"	"TCGA-59-2363"	0.5458	-0.7054	0.0243	-0.6167	-1.24
"TCGA-09-2055"	"TCGA-09-2055"	NA	NA	NA	NA	NA
"TCGA-24-2289"	"TCGA-24-2289"	NA	NA	NA	NA	NA
"TCGA-25-2391"	"TCGA-25-2391"	0.3295	0.0825	-0.5909	-0.3563	-0.339
"TCGA-25-2401"	"TCGA-25-2401"	NA	NA	NA	NA	NA
"TCGA-59-2348"	"TCGA-59-2348"	0.2922	0.0463	-0.328	-0.2019	-0.22
"TCGA-09-2043"	"TCGA-09-2043"	NA	NA	NA	NA	NA
"TCGA-13-2060"	"TCGA-13-2060"	0.3153	-0.0229	-0.3028	-0.2424	0.047
"TCGA-24-2290"	"TCGA-24-2290"	-0.0224	0.6563	-1.2098	-0.3465	0.307
"TCGA-25-2392"	"TCGA-25-2392"	0.1705	1.3562	-0.3221	0.9065	0.902
"TCGA-59-2349"	"TCGA-59-2349"	NA	NA	NA	NA	NA
"TCGA-VD-AA8N"	"TCGA-VD-AA8N"	-0.5434	-0.295	0.1089	-0.1881	0.781
"TCGA-V4-A9E5"	"TCGA-V4-A9E5"	-0.1705	-0.9708	-1.1813	-1.5002	0.479
"TCGA-WC-A87T"	"TCGA-WC-A87T"	-0.2492	-1.4568	0.0776	-1.2635	-0.828
"TCGA-V4-A9EH"	"TCGA-V4-A9EH"	0.1177	-0.5735	0.0867	-0.4568	0.188
"TCGA-V4-A9EL"	"TCGA-V4-A9EL"	-0.3839	0.1721	0.2737	0.3706	0.426
"TCGA-V4-A9EQ"	"TCGA-V4-A9EQ"	0.0518	-0.9985	0.6307	-0.5006	1.086
"TCGA-V4-A9EV"	"TCGA-V4-A9EV"	0.3442	0.1611	1.0884	1.0773	0.653
"TCGA-V4-A9EY"	"TCGA-V4-A9EY"	0.2589	-0.3712	-0.9818	-0.9546	0.881
"TCGA-V3-A9ZY"	"TCGA-V3-A9ZY"	-0.4094	-0.7448	-0.2292	-0.8088	-0.017
"TCGA-V4-A9F5"	"TCGA-V4-A9F5"	-0.4792	-1.8434	1.2149	-1.0351	1.215
"TCGA-V4-A9ED"	"TCGA-V4-A9ED"	-0.1872	-0.0615	-0.3577	-0.3133	1.08
"TCGA-V4-A9EF"	"TCGA-V4-A9EF"	-0.0722	-0.5934	-0.4937	-0.8412	0.739
"TCGA-V4-A9E7"	"TCGA-V4-A9E7"	-0.6502	-1.6621	0.5267	-1.2212	1.025
"TCGA-VD-A8KA"	"TCGA-VD-A8KA"	-0.2563	-1.6401	0.2319	-1.3527	0.966
"TCGA-V4-A9F4"	"TCGA-V4-A9F4"	-0.2249	-0.693	0.068	-0.5774	0.02
"TCGA-V4-A9EX"	"TCGA-V4-A9EX"	-0.6093	-0.7953	0.3255	-0.504	0.104
"TCGA-V4-A9EO"	"TCGA-V4-A9EO"	0.0145	-1.2554	-0.0168	-1.1329	1.087
"TCGA-WC-A884"	"TCGA-WC-A884"	-0.572	0.2001	-0.8462	-0.4374	0.539
"TCGA-VD-AA8T"	"TCGA-VD-AA8T"	-0.3618	-0.8659	-0.2588	-0.9299	0.486
"TCGA-VD-AA8M"	"TCGA-VD-AA8M"	-0.3366	-1.1199	-0.4937	-1.2714	-0.489
"TCGA-VD-A8KI"	"TCGA-VD-A8KI"	-0.6486	-0.9937	0.0034	-0.8878	0.665
"TCGA-YZ-A980"	"TCGA-YZ-A980"	-0.4658	-0.4186	0.0715	-0.3267	-0.024
"TCGA-WC-A883"	"TCGA-WC-A883"	-0.4452	-0.7524	-0.3063	-0.8615	0.754
"TCGA-WC-A87U"	"TCGA-WC-A87U"	-0.2068	-1.0886	-0.2859	-1.1346	-0.033
"TCGA-WC-AA9A"	"TCGA-WC-AA9A"	-0.5829	-2.0927	1.5641	-1.128	0.087
"TCGA-WC-A880"	"TCGA-WC-A880"	-0.2073	-0.8845	-0.0168	-0.8024	-0.907
"TCGA-WC-A88A"	"TCGA-WC-A88A"	-0.499	-0.8123	-0.0397	-0.7522	0.573
"TCGA-YZ-A985"	"TCGA-YZ-A985"	-0.1184	-1.0481	0.1066	-0.8759	0.492
"TCGA-WC-A881"	"TCGA-WC-A881"	-0.1902	-0.8736	-0.3239	-0.9741	0.704
"TCGA-V4-A9EI"	"TCGA-V4-A9EI"	0.0068	-0.6421	0.0396	-0.5499	-0.045
"TCGA-V4-A9E9"	"TCGA-V4-A9E9"	-0.1825	-1.2757	-0.5787	-1.4406	0.055
"TCGA-V4-A9EZ"	"TCGA-V4-A9EZ"	-0.5575	-1.1688	-0.7058	-1.4181	0.65
"TCGA-V4-A9ES"	"TCGA-V4-A9ES"	-0.1582	-2.157	1.5653	-1.2037	-0.559
"TCGA-VD-A8KD"	"TCGA-VD-A8KD"	-0.2498	-0.1128	0.9595	0.6653	0.529
"TCGA-WC-AA9E"	"TCGA-WC-AA9E"	0.2212	-1.4784	0.5716	-1.0152	0.119
