"FID"	"IID"	"Sigs160.Wolf_CSF1.response"	"Sigs160.Wolf_CSR.Activated.15701700"	"Sigs160.Wolf_CTLA4.data"	"Sigs160.Wolf_DAP12.data"	"Sigs160.Wolf_GP11.Immune.IFN"
"TCGA-BT-A0S7"	"TCGA-BT-A0S7"	-0.6301	0.2803	-0.659	-0.755	-0.5449
"TCGA-CU-A0YN"	"TCGA-CU-A0YN"	-0.0574	0.2617	1.429	-0.484	0.1161
"TCGA-CE-A13K"	"TCGA-CE-A13K"	-0.4182	-0.2308	-1.307	-0.897	-0.3079
"TCGA-DJ-A13M"	"TCGA-DJ-A13M"	-1.0608	0.0393	-1.778	-1.135	-0.3234
"TCGA-DJ-A13W"	"TCGA-DJ-A13W"	-0.677	-0.2221	-0.974	-0.525	-0.2724
"TCGA-DE-A0Y2"	"TCGA-DE-A0Y2"	-0.4324	-0.254	-1.222	-0.916	-0.1409
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.4325	-0.2233	-1.432	-0.93	-0.3239
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.3662	0.2166	2.196	0.149	0.6671
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	0.3731	0.1591	2.1	1.382	0.9541
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	-0.6683	0.1704	-0.822	-0.75	-0.6549
"TCGA-BL-A13J"	"TCGA-BL-A13J"	-0.6311	0.0027	0.105	-0.769	-0.1339
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	-0.6413	-0.2435	-0.062	-1.149	-0.2679
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-0.7629	-0.1314	-2.831	-0.728	-0.3719
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	-0.2324	0.1986	1.389	-0.216	0.4326
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	-0.3179	0.3546	1.168	0.211	0.6621
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	-0.051	0.029	0.36	-0.368	0.1401
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.1189	0.1926	1.458	0.1	-0.1034
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	-0.576	0.2254	0.045	-0.554	0.2066
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	0.4262	0.2249	0.786	0.51	-0.0249
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.6785	-0.2693	0.916	0.537	-0.0264
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	-0.5182	-0.2318	-0.968	-0.849	-0.2289
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-1.1628	-0.0384	-3.179	-1.685	-0.4904
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	-0.3834	-0.2648	-2.519	-0.522	-0.2709
"TCGA-BJ-A0ZH"	"TCGA-BJ-A0ZH"	-0.0702	-0.1362	-0.087	0.26	-0.1564
"TCGA-C4-A0EZ"	"TCGA-C4-A0EZ"	NA	NA	NA	NA	NA
"TCGA-C4-A0F0"	"TCGA-C4-A0F0"	-0.3964	0.6759	0.184	-0.051	0.3011
"TCGA-BJ-A0ZB"	"TCGA-BJ-A0ZB"	-0.5715	-0.2546	-1.015	-1.205	-0.3909
"TCGA-BJ-A0Z2"	"TCGA-BJ-A0Z2"	-0.922	-0.125	0.104	-1.83	-0.4019
"TCGA-09-2044"	"TCGA-09-2044"	0.3335	0.4152	0.082	1.514	0.4461
"TCGA-24-2262"	"TCGA-24-2262"	0.019	0.1516	0.951	-0.055	0.1531
"TCGA-24-2293"	"TCGA-24-2293"	NA	NA	NA	NA	NA
"TCGA-25-2393"	"TCGA-25-2393"	-0.3537	0.4205	0.25	-0.028	-0.3274
"TCGA-25-2408"	"TCGA-25-2408"	NA	NA	NA	NA	NA
