"FID"	"IID"	"Sigs160.Attractors_G.GIMAP4"	"Sigs160.Attractors_G.HLA.DPA1"	"Sigs160.Attractors_G.LILRB4"	"Sigs160.Attractors_G.SIGLEC9"	"Sigs160.Attractors_G.SLAMF6"
"TCGA-FX-A3NK"	"TCGA-FX-A3NK"	9.409261448	11.82399773	7.651859318	5.99465062	5.997745915
"TCGA-K1-A3PO"	"TCGA-K1-A3PO"	10.71582492	13.09142702	7.347901159	6.155661294	7.204106982
"TCGA-HB-A2OT"	"TCGA-HB-A2OT"	8.368405259	12.34584529	9.491765976	8.676322237	6.453736239
"TCGA-DX-A2J1"	"TCGA-DX-A2J1"	10.82257712	14.5335286	10.94833147	8.943552341	7.166072953
"TCGA-IW-A3M5"	"TCGA-IW-A3M5"	NA	NA	NA	NA	NA
"TCGA-IW-A3M4"	"TCGA-IW-A3M4"	7.43968274	9.840565036	5.348116521	4.294720543	3.622936586
"TCGA-FX-A3NJ"	"TCGA-FX-A3NJ"	7.986164139	11.17900369	6.857331826	5.303288307	5.220448599
"TCGA-DX-A2J4"	"TCGA-DX-A2J4"	9.890666444	12.95254312	9.083731343	8.222220239	7.951711931
"TCGA-IS-A3K6"	"TCGA-IS-A3K6"	7.786343998	10.64545767	6.648958924	4.950983228	5.760871908
"TCGA-B0-4710"	"TCGA-B0-4710"	9.924759061	12.35643441	7.755205866	6.673981845	7.009343361
"TCGA-CZ-5462"	"TCGA-CZ-5462"	9.205084188	13.3148411	8.549278162	7.326036152	7.307913202
"TCGA-CZ-5455"	"TCGA-CZ-5455"	10.82810868	14.18575985	9.082585525	8.049864466	7.969663236
"TCGA-CZ-5466"	"TCGA-CZ-5466"	10.03401438	14.20476613	9.121998871	8.047843104	8.257759258
"TCGA-B0-4821"	"TCGA-B0-4821"	8.604113568	11.84880595	7.169707941	5.312438842	6.422927283
"TCGA-B8-4621"	"TCGA-B8-4621"	8.386260855	12.92698468	8.677935769	7.513873786	6.590879721
"TCGA-CZ-5453"	"TCGA-CZ-5453"	10.16825171	11.9920568	7.181643718	5.772345139	4.466361478
"TCGA-CZ-5454"	"TCGA-CZ-5454"	10.10654692	14.27923955	9.602095558	8.575820591	7.750815259
"TCGA-B0-4810"	"TCGA-B0-4810"	10.82615829	13.16821849	8.750288885	6.777669416	7.846783001
"TCGA-CZ-4864"	"TCGA-CZ-4864"	10.78095499	14.81231326	9.367149673	7.8442708	7.739031158
"TCGA-CZ-5456"	"TCGA-CZ-5456"	9.066240801	13.42623332	8.646793538	7.532927652	7.83464867
"TCGA-CZ-5464"	"TCGA-CZ-5464"	10.54440139	14.14454185	8.582145053	7.380312635	7.896242493
"TCGA-B0-5402"	"TCGA-B0-5402"	10.82295158	13.15314826	7.573235185	6.278197002	6.715346347
"TCGA-CZ-5458"	"TCGA-CZ-5458"	11.06924721	13.14707177	8.031271071	6.597631568	7.122472622
"TCGA-CZ-5451"	"TCGA-CZ-5451"	10.73057544	13.00787189	7.553664862	6.614846002	6.822812112
"TCGA-CZ-5452"	"TCGA-CZ-5452"	10.47145273	14.33723299	9.115098703	7.812717082	9.069349201
"TCGA-CZ-5460"	"TCGA-CZ-5460"	10.21571865	13.47435446	8.177874665	6.890430046	7.757985481
"TCGA-CZ-5468"	"TCGA-CZ-5468"	9.263865479	12.80907914	8.396973606	6.888621476	5.735041851
"TCGA-B0-4706"	"TCGA-B0-4706"	9.707146144	10.85359637	7.045209445	5.015021101	6.720766662
"TCGA-CZ-5461"	"TCGA-CZ-5461"	10.36848268	13.71204398	8.0956194	7.575711369	7.187613608
"TCGA-CZ-5469"	"TCGA-CZ-5469"	9.180699338	12.38794077	8.104584408	6.12012817	5.715865553
"TCGA-BP-4770"	"TCGA-BP-4770"	8.876051495	12.81488703	8.555092236	6.792422507	6.158177636
"TCGA-CZ-5470"	"TCGA-CZ-5470"	10.08307303	14.03262435	8.921788011	7.537306412	7.826747965
"TCGA-B0-4712"	"TCGA-B0-4712"	10.04856448	13.11025038	8.715713814	7.068005126	7.642778282
"TCGA-B0-5080"	"TCGA-B0-5080"	10.73097412	12.40471316	7.561318727	5.622150611	8.263225514
"TCGA-CZ-4863"	"TCGA-CZ-4863"	10.79219962	14.44304523	8.687678061	7.547745117	7.914512446
"TCGA-CZ-5463"	"TCGA-CZ-5463"	9.740717044	13.64641779	8.060123512	6.608969372	6.58797461
"TCGA-B0-5399"	"TCGA-B0-5399"	10.35033955	12.96510731	7.812667775	6.609714371	7.789285644
