"FID"	"IID"	"Sigs160.Bindea_Th2.cells"	"Sigs160.Bindea_Treg.cells"	"Sigs160.ICR_ICR.SCORE"	"Sigs160.Senbabaoglu_Angiogenesis"	"Sigs160.Senbabaoglu_APM1"
"TCGA-DJ-A13T"	"TCGA-DJ-A13T"	-0.000891742	-0.197253285	5.512333368	0.278723821	0.444215659
"TCGA-BI-A0VR"	"TCGA-BI-A0VR"	0.080045017	0.064055975	9.088065168	0.008818956	0.497226677
"TCGA-DR-A0ZM"	"TCGA-DR-A0ZM"	0.05921131	0.059068411	9.53872549	0.01896091	0.494913678
"TCGA-C4-A0F6"	"TCGA-C4-A0F6"	0.067559205	-0.126400531	5.216895261	0.079460222	0.429932604
"TCGA-BL-A13J"	"TCGA-BL-A13J"	0.087250091	-0.128943211	5.308087519	0.03990439	0.451376659
"TCGA-DJ-A13U"	"TCGA-DJ-A13U"	0.016098986	-0.097550894	5.505637713	0.20225464	0.455070879
"TCGA-BJ-A0YZ"	"TCGA-BJ-A0YZ"	-0.010156431	-0.232753009	4.097019862	0.331178154	0.414820102
"TCGA-DS-A0VL"	"TCGA-DS-A0VL"	0.08285837	-0.067625507	8.319635708	-0.006281378	0.491973679
"TCGA-DS-A0VM"	"TCGA-DS-A0VM"	0.12864359	-0.057699275	7.479625999	0.010832373	0.496899508
"TCGA-CU-A0YO"	"TCGA-CU-A0YO"	0.064066574	-0.131681482	6.416606442	0.142538745	0.481171629
"TCGA-BT-A0YX"	"TCGA-BT-A0YX"	0.075479745	-0.049631156	7.44264722	0.061694725	0.479157679
"TCGA-C4-A0F1"	"TCGA-C4-A0F1"	0.074810854	-0.130801323	6.073438676	0.090142412	0.486900789
"TCGA-CU-A0YR"	"TCGA-CU-A0YR"	0.093576848	-0.023959869	7.34903877	0.167997252	0.481605627
"TCGA-BJ-A0ZJ"	"TCGA-BJ-A0ZJ"	0.002872135	-0.1164743	7.438090555	0.262025784	0.470373747
"TCGA-DJ-A13V"	"TCGA-DJ-A13V"	0.004996956	-0.153881034	5.901394622	0.259654183	0.433023352
"TCGA-BJ-A0ZE"	"TCGA-BJ-A0ZE"	-0.013717217	-0.22468489	4.192323965	0.242641046	0.418148949
"TCGA-DJ-A13P"	"TCGA-DJ-A13P"	0.003545578	-0.167230103	5.046152651	0.296149649	0.432575653
